,0,1
332,CTDD_polarity.1.residue75,794
333,CTDD_polarity.1.residue100,707
334,CTDD_polarity.2.residue0,407
335,CTDD_polarity.2.residue25,431
336,CTDD_polarity.2.residue50,439
337,CTDD_polarity.2.residue75,467
338,CTDD_polarity.2.residue100,740
339,CTDD_polarity.3.residue0,876
340,CTDD_polarity.3.residue25,955
341,CTDD_polarity.3.residue50,618
342,CTDD_polarity.3.residue75,441
343,CTDD_polarity.3.residue100,220
344,CTDD_polarizability.1.residue0,257
345,CTDD_polarizability.1.residue25,157
346,CTDD_polarizability.1.residue50,231
347,CTDD_polarizability.1.residue75,589
348,CTDD_polarizability.1.residue100,970
349,CTDD_polarizability.2.residue0,727
350,CTDD_polarizability.2.residue25,729
351,CTDD_polarizability.2.residue50,537
352,CTDD_polarizability.2.residue75,280
353,CTDD_polarizability.2.residue100,318
354,CTDD_polarizability.3.residue0,554
355,CTDD_polarizability.3.residue25,434
356,CTDD_polarizability.3.residue50,963
357,CTDD_polarizability.3.residue75,291
358,CTDD_polarizability.3.residue100,566
359,CTDD_charge.1.residue0,1016
360,CTDD_charge.1.residue25,615
361,CTDD_charge.1.residue50,596
362,CTDD_charge.1.residue75,637
363,CTDD_charge.1.residue100,133
364,CTDD_charge.2.residue0,979
365,CTDD_charge.2.residue25,482
366,CTDD_charge.2.residue50,918
367,CTDD_charge.2.residue75,699
368,CTDD_charge.2.residue100,1650
369,CTDD_charge.3.residue0,860
370,CTDD_charge.3.residue25,976
371,CTDD_charge.3.residue50,540
372,CTDD_charge.3.residue75,572
373,CTDD_charge.3.residue100,723
374,CTDD_secondarystruct.1.residue0,241
375,CTDD_secondarystruct.1.residue25,389
376,CTDD_secondarystruct.1.residue50,648
377,CTDD_secondarystruct.1.residue75,494
378,CTDD_secondarystruct.1.residue100,900
379,CTDD_secondarystruct.2.residue0,569
380,CTDD_secondarystruct.2.residue25,696
381,CTDD_secondarystruct.2.residue50,777
382,CTDD_secondarystruct.2.residue75,771
383,CTDD_secondarystruct.2.residue100,949
384,CTDD_secondarystruct.3.residue0,220
385,CTDD_secondarystruct.3.residue25,396
386,CTDD_secondarystruct.3.residue50,602
387,CTDD_secondarystruct.3.residue75,534
388,CTDD_secondarystruct.3.residue100,842
389,CTDD_solventaccess.1.residue0,340
390,CTDD_solventaccess.1.residue25,780
391,CTDD_solventaccess.1.residue50,654
392,CTDD_solventaccess.1.residue75,594
